taskset,arrival_mode,policy,policy_family,baseline_name,representative_systems,makespan_s,mean_flow_s,p90_flow_s,completed_jobs,candidate_vs_policy_makespan,candidate_vs_policy_mean_flow,profiles
q01_gpu_bound_cnn_resnet50,poisson,sota_salus_iadeep_packing_guard,sota_style,packing_guard,"[""Salus"", ""IADeep"", ""Gandiva""]",3326.882282988086,2.7285169013908264,2.881092318762235,64,0.9993975352754172,0.5854240038192466,"{""gpu_cnn_torch_resnet50"": 1}"
q01_gpu_bound_cnn_resnet50,poisson,scheduleurm_sota_union_guarded_mean_flow,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",3326.882282988086,2.7285169013908264,2.881092318762235,64,0.9993975352754172,0.5854240038192466,"{""gpu_cnn_torch_resnet50"": 1}"
q01_gpu_bound_cnn_resnet50,poisson,scheduleurm_sota_union_adaptive_scalarized,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",3326.882282988086,2.7285169013908264,2.881092318762235,64,0.9993975352754172,0.5854240038192466,"{""gpu_cnn_torch_resnet50"": 1}"
q01_gpu_bound_cnn_resnet50,poisson,scheduleurm_sota_union_makespan,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",3326.882282988086,2.7285169013908264,2.881092318762235,64,0.9993975352754172,0.5854240038192466,"{""gpu_cnn_torch_resnet50"": 1}"
q01_gpu_bound_cnn_resnet50,poisson,scheduleurm_sota_union_mean_flow,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",3326.882282988086,2.7285169013908264,2.881092318762235,64,0.9993975352754172,0.5854240038192466,"{""gpu_cnn_torch_resnet50"": 1}"
q01_gpu_bound_llm_inference,static,legacy_fixed_caps,legacy,Scheduleurm legacy,[],5.771284086629338,2.9393400703445502,5.1444694440485215,160,2.801243297306197,2.65432902617439,"{""gpu_llm_distilgpt2"": 3}"
q01_gpu_bound_llm_inference,static,calibrated_backlog_aware_guarded,candidate,Scheduleurm current candidate,[],2.0602580619038937,1.1073759286658365,1.9247574461291708,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,sota_gavel_pollux_sia_table_goodput,sota_style,throughput_table_goodput,"[""Gavel"", ""Pollux"", ""Sia""]",2.1010830260015525,1.107862324705582,1.92034590763627,160,1.0198154613990116,1.000439232989588,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,sota_srpt_gittins_mean_flow_oracle,sota_style,delay_oracle,"[""SRPT"", ""Gittins"", ""SERPT""]",2.1010830260015525,1.107862324705582,1.92034590763627,160,1.0198154613990116,1.000439232989588,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,sota_iadeep_salus_interference_guard,sota_style,interference_guard,"[""IADeep"", ""Salus""]",2.0602580619038937,1.1073759286658365,1.9247574461291708,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,sota_quadrant_composite,sota_style,quadrant_composite,"[""Gavel/Pollux/Sia"", ""IADeep/Salus"", ""SRPT/Gittins""]",2.1010830260015525,1.107862324705582,1.92034590763627,160,1.0198154613990116,1.000439232989588,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,sota_gavel_finish_time_fairness,sota_style,finish_time_fairness,"[""Gavel"", ""Themis""]",2.0602580619038937,1.1073759286658365,1.9247574461291708,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,sota_sia_pollux_resource_adaptive,sota_style,resource_adaptive_goodput,"[""Sia"", ""Pollux""]",2.0602580619038937,1.1073759286658365,1.9247574461291708,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,sota_salus_iadeep_packing_guard,sota_style,packing_guard,"[""Salus"", ""IADeep"", ""Gandiva""]",2.0602580619038937,1.1073759286658365,1.9247574461291708,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,scheduleurm_sota_union_guarded_mean_flow,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",2.0602580619038937,1.1073759286658365,1.9247574461291708,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,scheduleurm_sota_union_adaptive_scalarized,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",2.0602580619038937,1.1073759286658365,1.9247574461291708,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,scheduleurm_sota_union_makespan,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",2.0602580619038937,1.1073759286658365,1.9247574461291708,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,static,scheduleurm_sota_union_mean_flow,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",2.0602580619038937,1.1073759286658365,1.9247574461291708,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,poisson,legacy_fixed_caps,legacy,Scheduleurm legacy,[],2339.928472909997,0.21170791005294404,0.22835036710748113,160,1.0000006837097628,1.0076248875425529,"{""gpu_llm_distilgpt2"": 3}"
q01_gpu_bound_llm_inference,poisson,calibrated_backlog_aware_guarded,candidate,Scheduleurm current candidate,[],2339.9268730791496,0.2101058763735661,0.22662239681713459,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 1}"
q01_gpu_bound_llm_inference,poisson,sota_gavel_pollux_sia_table_goodput,sota_style,throughput_table_goodput,"[""Gavel"", ""Pollux"", ""Sia""]",2339.9621544155675,0.24543579220835535,0.2647296137309212,160,1.0000150779653945,1.1681529162562452,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,poisson,sota_srpt_gittins_mean_flow_oracle,sota_style,delay_oracle,"[""SRPT"", ""Gittins"", ""SERPT""]",2339.9621544155675,0.24543579220835535,0.2647296137309212,160,1.0000150779653945,1.1681529162562452,"{""gpu_llm_distilgpt2"": 10}"
q01_gpu_bound_llm_inference,poisson,sota_iadeep_salus_interference_guard,sota_style,interference_guard,"[""IADeep"", ""Salus""]",2339.9268730791496,0.2101058763735661,0.22662239681713459,160,1.0,1.0,"{""gpu_llm_distilgpt2"": 1}"
