trace,taskset,arrival_mode,seed,load_factor,policy,metric,relative_loss
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.50,41,0.5,sota_sia_pollux_resource_adaptive,mean_flow,0.010480862598528207
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.50,41,0.5,sota_salus_iadeep_packing_guard,mean_flow,0.02902431823686813
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.50,42,0.5,sota_iadeep_salus_interference_guard,mean_flow,0.008799519275183298
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.50,42,0.5,sota_gavel_finish_time_fairness,mean_flow,0.015782538262052448
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.50,42,0.5,sota_sia_pollux_resource_adaptive,mean_flow,0.04353883028811345
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.50,42,0.5,sota_salus_iadeep_packing_guard,mean_flow,0.015782538262052448
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.50,43,0.5,sota_iadeep_salus_interference_guard,mean_flow,0.00635292030414325
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.50,43,0.5,sota_gavel_finish_time_fairness,mean_flow,0.0520510806222203
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.50,43,0.5,sota_sia_pollux_resource_adaptive,mean_flow,0.03506310455298833
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.50,43,0.5,sota_salus_iadeep_packing_guard,mean_flow,0.0520510806222203
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.70,41,0.7,sota_gavel_finish_time_fairness,mean_flow,0.03124639710967081
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.70,41,0.7,sota_sia_pollux_resource_adaptive,mean_flow,0.016890048891391674
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.70,41,0.7,sota_salus_iadeep_packing_guard,mean_flow,0.03124639710967081
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.70,42,0.7,sota_gavel_pollux_sia_table_goodput,mean_flow,0.009660755062110837
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed42,q01_gpu_bound_cnn_resnet50,bursty_load0.70,42,0.7,sota_iadeep_salus_interference_guard,mean_flow,0.031318037891925776
